	Username	Currency	MYO's	Mutations	Items	Account Bound	Crafting Recipes	Pets - Drawn (up to 6)	Plot-Planted seed-water/harvest date	Achievement Badges
102	neighborlynarwhal	8,996 UBP 207 Umbo 248 Bells 50 CH 50 Eggs 25 Mazu Pyre	5 elementary, 7 (any) exclusive, 5 abyssius, 7 cupid, 1 Ilgbii, Ancient Water x1, CotN x1, Fairyfly x1	glow, spores, leaky x2, hollow body x2, gills x1, dullahan x1, familiars x2, growth x2, Icicle teeth x1, Different back legs x1,  Snowman x1, Multiple eyes x1, tanks x1, wings x2, ragdoll x1, Bunny Ears x2, Floating Limbs x1, Gachapon x1, Spikes x1, Skeleton Parts x1, Ice Horns/Spikes x1, Plush Body x1, plant growth x1, Slime x1, Piebald x1, Shadow Morph x1, Skeleton/Mushrooms x2, Horns 1x, Shaggy back legs x1, Scarecrow x1, Dyed Egg x1, Tree/Mushrooms x3, Spores/Mushrooms x1	Stone x117, Phaloo x23, Stick x34, Mazu berry x31, Evolution shard x66, Magmil x26, Lotar x29, Prysiv x39, Cooked Tagbo Fish x1, Eread x3, Pyre x28, Wyrm x6, Prysiv seeds x11, Chush x25, Fica x20, Chush seeds x9, Phaloo Seeds x17, Dryxon Mushroom x2, Cooked Mazu Fish x5, Ilgbii Flower x6, Fossilized Horn x1, Fossilized feather x1, Cooked Stew x1, Vielli Seed x5, Fossilized claw x1, Tagbo Fish x14, Mazu Fish x25, Fica Seeds x2, Mushrumi Spore ×3, Black Lyka x10	1 Elementary myo, x1 candy insides,1x perfect mazu pyre	Lesser Pickaxe Greater Pickaxe Twine Fishing Pole Campfire Cooked Mazu Fish Cooked Tagbo Fish Anvil UBP Evolution Stone Hoe Pot Stew Greater Fishing Pole Armor 1 Revival Potion Mutations Cooked Fica Ancient air umi Ancient earth umi Ancient fire umi Ancient water umi	C01E-0 C04X-0 C08X-0 CO6X -0 DB01X-0 FF01X-0 FF09X-0 M02E-0 M04U-0 C03U -0 FF68 -0 C18U -1 FF69X-0 CN08U - 0  FF76X - 0  CN26U - 0 FF81X - 0 KM03U- 0 KM04U- 0	Plot 1 - Tilled   Plot 2 - Untilled  Plot 3 - Untilled	Creation!  OG Paws or Claws Participation Paws or Claws master Sugar Daddy               Artifact Holder.                         Bring on the heat
103	nini.cosmosart	690 UBP 61 Umbo 22 Bells 20 CH	1 elementary, Cupid x1, Feyndeer x1	Familiar, Albinism, Glow, Horn		1 Elementary myo		W06U - 0  J06U - 0   Q04U - 0		Creation!  OG
104	Kovupancakes	1220 UBP	1 Ilgbii			1 Elementary myo				Creation!  OG
105	aj.artvoid	1,785 UBP 40 Umbo 22 Eggs	2 Abyssius	tank mutation	Mazu berry x18, Stick x36, Phaloo x15, Stone x38, Phaloo seeds x11, Prysiv x5, Eread x4, Wyrm x2, Black lyka x1, Fica seeds x1, Chush x1, Evolution Shard x5, Prysiv Seeds x1, revival potion x1	1 Elementary myo, x1 candy insides 	evolution stone             lesser pickaxe, twine, fishing pole, campfire, revival potion			Creation!  OG                    Paws or Claws Participation
106	bone_guts	1,910 UBP	1 Cupid, 2 Any Exclusive, 1 Abyssius 		Mazu berry x14, Phaloo x23, Stick x13, Evolution shard x10, Stone x46, Magmil x10, Black lyka x11, Pyre x11	1 Elementary myo	Lesser Pickaxe Greater Pickaxe			Creation!  OG
107	willow._pillowz	1,300 UBP	1 Ilgbii			1 Elementary myo				Creation!  OG
108	sleepy._armadillo 	655 UBP			Evolution shard x2, Stick x3, Phaloo x4, Mazu berry x2, Stone x1, Black lyka x1, Magmil x2, Pyre x1	x1 candy insides				Creation!  OG  First Quest!   Paws or Claws Participation!
109	gacha_alihorn	14,035 UBP	2 elementary, 2 Cupid			1 Elementary myo				Creation!  OG
110	_Meowzie_	3,935 UBP 30 Umbo	1 Exclusive MYO, 2 feyndeer,1 ilgbii	 x2 Bat-Like Ears, x4 Leaky, x3 Ghost Parts, x1 Skeleton Parts, x3 Glitch, x2 Shadowmorph, x1 Scarecrow, x1 Ragdoll, x4 Slime, x2 Zippers, x1 Dullahan, x2 Candy Parts, x2 Different Back Legs, x3 Snow Particles, x2 Candy Cane Horns, x3 Ice Spikes/Horns, x1 Hoof Back Legs, x2 Gingerbread Parts, x1 Snowman, x2 Fruit Parts, x3 Piebald Skin, x1 Confetti, x3 Glow, x2 Wings, x2 Fangs, x3 Feathers, x2 Detached/Floating Limbs, x2 Albinism, x2 Multiple Eyes	Stone x22, Phaloo x6, Stick x18, Evolution Shard x5, Mazu Berry x10,Prysiv x3, Magmil x3, Pyre x1, Black Lyka x1, Tagbo Fish x2, Wyrm x1, Eread x3, Mazu Fish x1, Cooked Tagbo Fish x2	1 Elementary myo	Lesser Pickaxe Fishing Pole Twine Campfire			Creation!  OG
111	_d3f4ult_art_	11,915 UBP 1 Umbo             2 CH 0 Eggs	3x Cupid, 1x Abyssius, 1x ilgbii, 3x fairyly, Plushpit x1	Familiars 1x, gachapon x1, multiple eyes x1, floating objects x1, different ears x1, cloud head x1, piebald skin x1, gingerbread x1, shaggy back legs 1x, claws 1x, Heart particles x2, Marshmallow body x1, Rock/crystal/Mushrooms x4, Icicle Teeth x1, Requirement Ignore x1, Mushroom x1, Cloud Head x1, Wing Ears x1 Glow/Mushroom x1, Zippers x1, Ragdoll x1, Dullahan x1, Scarecrow x1, Plant Growth x1, Plush Body x1, Leaky/Mushrooms x2, Hollow Body/Mushrooms x1, Tree/Mushrooms x2	Mazu Berry x93, Evolution Shard x45, Stone x155, Phaloo x126, Stick x187, Black Lyka x9, Pyre x3, Prysiv x4, Eread x4, Wyrm x2, Phaloo Seeds x64, Ilgbii Flower x1, Magicule Seal x1, Chush Seeds x1, Lotar x1, Dryxon Mushroom x1	x1 candy insides, x1 fangs,	Lesser Pickaxe Twine Greater Fishing Pole Revival Potion Ilgbii Umi Anvil Fishing Pole Pot Plushpit Hoe	C01E -0       M01U -0 C09E-0  FF21X-0 FF67X - 0          FF50X - 0       PP18U - 0  C07U - 0		Creation!  OG                    Paws or Claws Participation Paws or Claws Master               First action                       Avid Player                    Sticks Galore        Wholesaler                    Stone Age
112	Mvtt_Gutz	350 UBP	Elementary x1							Creation!  OG
113	fuyunofabuki.arts	1,250 UBP			Stone x1, Mazu berry x1					Creation!  OG
114	Honey_arcus	6,647 UBP 1 Egg 25 Mazu Pyre	3 Elementary, 2 Cupid, 1 Exclusive	2 water parts, x1 scarecrow, x1 requirement ignore, 4x Different insides, Familiars x1, Scarecrow x1, Mushroom x1, Chocolate Parts x1	Stone x70, Stick x142, Mazu berry x63, Evolution shard x23, Black Lyka x2, Magmil x4, Phaloo x60, Phaloo Seeds x22, Evolution Stone x2, Magicule seal x1, Lotar x1 		Lesser Pickaxe Evolution Stone Mutation Evolution stone Armor I Campfire	PP03U-0  M13U - 0   FF74X - 0  G14X - 0		Creation!  OG First Quest                                      Sticks galore Avid player First action  Stone Age Magicule gathered bring the heat free birds pirate off the seven seas
115	quollian	59,820 UBP 17 CH 5 Eggs	1 Cupid							Creation!  OG
116	gd.s_world	850 UBP				1 Elementary myo				Creation!  OG
117	falcon.trainer	200 UBP								Creation!  OG
118	captain.niki_shadow	200 UBP	1 Cupid			1 Elementary myo				Creation!  OG
119	Zesmolnuggeto 	1,430 UBP	2 Elementary, 2 Cupid, 1 Abyssius			1 Elementary myo				Creation!  OG
120	Hazard_Yeen	200 UBP								Creation                    OG
121	frostpaw03	410 UBP		Glow/Mushrooms x1, Spores/mushrooms x1, Zombism/mushrooms x1	Mazu berry x11, Stone x24, Stick x16, Evolution shard x5, Phaloo Seeds x5, Phaloo x9, Prysiv seeds x1, Wyrm x2, Eread x1, Prysiv x2, 2x Mushrumi spore 	1 Elementary myo, x1 candy insides 	Lesser pickaxe recipe, Fishing pole recipe, cooked mazu fish recipe, cooked tagbo fish recipe	CN29U - 0 IL10U - 0 AS07U - 0		Creation                     OG Paws or Claws Participation 
122	lilwalfy	200 UBP 7 Umbo				1 Elementary myo				Creation                     OG
123	Cifurmind	200 UBP				1 Elementary myo				Creation                     OG
124	Keshomi	200 UBP	1 Ilgbii			1 Elementary myo				Creation                     OG
125	fish_b1te	27,584 UBP 209 Umbo 24 Bells 41 Eggs            22 Mazu Pyre	6 Elementary, 3 Cupid, 1 Abyssius, 2 Feyndeer, 4 Fairyfly, 3 Ilgbii, 1 Earth/Fire-Water, 1 Elementary-Water, 1 Earth-Cosmic, x1 Archeon, 1x Mimicree, 1x Ancient Fire MYO, x1 Korinuu , Mixrid x1, Mushrumi x1	Fire x1, x2 Ghost Part, x3 Dullahan,Wings x3,Horns x5, Claws x3, x2 Different Ears, Requirement Ignore x3, x2 Snow Particles, x1 Snowman, Different back legs x2, Shadowmorph x1,1x Different insides, 3x Ragdoll, 3x Zippers, 1x albinism, 1x Stardust, skeleton parts 1x, wing ears 1x, rock/crystals 1x, icicle teeth 3x, sand parts 2x, bird hind legs 2x, gachapon x1, scarecrow x1, plush body x1, Tree/mushroom x1, 1x Tank, 1x Shaggy Back Legs, colour changing x1, Glow x2, feathers x1, Mushroom x2, Gills/mushroom x1, Zombie/Mushroom x1, Slime x1, Plant Growth x1, Chocolate Parts x2, Leaky/Mushroom x2, Familiars x3, Velociraptor Back Feet x1, Pollinator Puffs x1, Fossilised x1, Amber x1, Relic Parts x1, Runes x1, Geode x1, Spikes x1, Velociraptor Back Feet x1, Plant Growth x1, Spores/Mushrooms x1, Glow/Mushrooms x2, Hollow Body/Mushrooms x1, Mushrooms x1, Excavation Site x1	Stone x223, Evolution shard x55, Stick x166, Phaloo x185, Mazu Berry x74, Black Lyka x38, Magmil x89, Pyre x37, Prysiv x40, Wyrm x111, Eread x53, Phaloo seeds x26, Tagbo Fish x18, Vielli Seed x10, Fica x17, Prysiv Seeds x20, Evolution Stone x4, Twine x2, Mazu Fish x26, Cooked Mazu Fish x16, Chush x17, Chush Seeds x9, Fica Seeds x15, Cooked Chush x3, Lotar x27, Cooked Tagbo Fish x39, Cooked Fica x10, Magicule seal x2, Revival potion x4, Fossilized feather x2, Fossilized Whisker x3, Fossilized Claw x2, Fossilized Horn x2, Dryxon mushroom 1x, Mushrumi Spore x3		Lesser Pickaxe Greater Pickaxe Evolution Stone Anvil Campfire Twine  Fishing Pole Armor 1 Greater Fishing Pole Revival Potion Cooked Mazu Fish Cooked Tagbo Fish Hoe Pot Armor 2 Stew Cooked Fica Cooked Chush Mutations Ilgbii umi  Plushpit Inder	M02E-0 M05U-1 FF04X-0 FF12X- 0 PP01E-0  CN02U- 6 MC03X - 0 FF52X - 0 FF54x - 0 M03U-0 M07U-0 M06X - 0 IN03X -2 IL01U -0 CN11U -0  G11X -0    B02U - 0 AN24RX - 0	Plot 1 - Untilled Plot 2 - Untilled Plot 3 - Untilled	Creation                     OG First Quest Sugar Daddy Propagator Science Experiment bring on the heat pirate of the seven seas  First Action                    Stone Age                        Tool Upgrades      Wholesaler               Magicule Gatherer     Another Chance          Master Baiter              Hidden Treasure       Farmer's Hand                Free Birds                        Avid Player        Necromancer               Bucket                        Epicure
126	eddlydeddly / edd_._spams 	1,635 UBP	1 abyssius	wings x1, familiar x1, fire x1, long body mutation 2x	Stone x5, Stick x5, Evolution Shard x3, Phaloo x4, Phaloo seeds x1	1 Elementary myo, x1 candy insides 		DB0IX-0		Creation                     OG       Paws or Claws Participation       MQB Diligence
127	hapsaur	200 UBP								Creation                     OG
128	jill_likes_art	1,860 UBP 17 CH	2 Cupid, 2 Elementary, 1 Feyndeer 	x1 Fruit Parts, 1x Candycane horns, 1x Snow particles 		1 Elementary myo				Creation                     OG
129	zak_5670	9,054 UBP 15 Eggs 10 Bells 13 CH                 66 Mazu Pyre	3x elementary, 1 Fire-cosmic, 1 Fire-chaos, 1 Fairyfly, Dune Buggy x1, 1 Earth, Quinki x1, Mixdrid x1, Mushrumi x1	Claws x2, Fangs x1, familiars x1, snow particles x1, shaggy back legs x1, snowman x1, water parts x1, shadowmorph x1, multiple eyes x1, multiple limbs x1, long body x1, plant growth x1, Gills/mushroom x1, Glow/mushroom x1, Wing Ears x1, floating object x1, piebald 1x, diffrent ears x1 wings x1, Multiple Eyes x1, Zombie parts x1, 1x Excavation site, 1x Bunny ears, 1x Shadow morph, Spikes x2, Tree/Mushrooms x1	Stick x69, Stone x56, Phaloo Seeds x22, Evolution Shard x7, Eread x15, Mazu Fish x2, Ilgbii Flower x2, Phaloo x16, Mazu Berry x24, Prysiv Seeds x6, Wyrm x23, Prysiv x11, Black Lyka x4, Magmil x7, Lotar x3, Fica Seeds x6, Chush Seeds x4, Chush x4, Cooked Fica x4, Vielli Seed x5, Fossilized Claw x1, Fossilized Whisker x1, Evolution Stone x2, Mushrumi spore x3, 1x Revival potion 	1x perfect mazu pyre	Mutations          Lesser pickaxe    Ilgbii Evolution Stone      Pot                        Hoe                   fishing pole       greater pickaxe armour 2          cooked mazu fish cooked tagbo fish cooked fica      cooked chush campfire               anvil                    twine                 revival potion	M01U - 0 CN05X - 0 FF37X - 0 DB04X - 0 M05U - 0 Q01U- 0 M10U - 0 GR01U - 0 GR03U - 0	Plot 1 - untilled  Plot 2 - Tilled	Creation                     OG First action Avid player Stone Age Tool upgrades Magicule gatherer Farmers hand Edge of death Bucket First quest Propagator         Artifact Holder Bring on the heat Pirate of the seven seas            Free Birds                    
130	Actual_moth									Creation                     OG
131	lark_barks	2,112 UBP 34 Umbo 38 CH 20 Bells 28 Eggs 52 Mazu Pyre	1 Cupid, 1 Abyssius, 1 ilgbii, 1x Feyndeer	Confetti x1, Spores x1, Water parts x1, Bird hind legs x1, Snow particles x1, Shadowmorph x1, Pollinator puffs x1, x1 skeleton/mushrooms mut, x2 gills/mushrooms mut, x1 rock/crystal/mushrooms mut, x1 hollow body/mushrooms mut, x1 ice horns/spikes mut	Ilgbii Flower x1, Revival Potion x1, Eread x5, Stick x24, Stone x124, Dryxon mushroom x2, Mazu berry x11, Evolution Shard x6, Wyrm x2, Phaloo x8, Prysiv Seeds x1, Prysiv x2, Phaloo seeds x2, Magicule Seal x1, Cooked Tagbo Fish x2, Mazu Fish x7, Fossilized Whisker x1, Tagbo Fish x1		Stew  Armor 1 Cooked chush Campfire Mutations Cooked Tagbo Fish              Cooked Mazu fish                Fishing pole	ff01x-0 C02X-0 PP01E-0 C03U-0 AS01U - 0 FF55X - 0 CN25U-0 IL07U-0 IN15X-0	1 Plot of land 	Creation                     OG Pirate Of The Seven Seas   Free Birds
132	thefishofthecat	23,022 UBP           42 Mazu Pyre	8 Elementary, 2 abyssius, 2 Feyndeer, 2 Cupid, 1 Elementary-Water, 1 Archeon, 1 Earth - Elementary, 1 Earth - Plant	Wings x3, ragdoll x1, Familiars x3, Ghost parts x1, Horns x3, Plant Insides x1, Slime x1,  x1 Glow, x1 Fangs, x1 multiple eyes, x2 different insides, x1 snow particles, x1 candy cane horns, x2 wing ears, x2 plush body, x1 Pollinator Puffs, x2 Floating Objects, x1 Water Parts, Bunny ears x1, Requirement Ignore x1, Fins x1, excavation site x1, velociraptor feet x1, spikes x1, relic parts x1, amber x1, Mushroom growth 1x	Stone x53, Phaloo x20, Mazu berry x23, Evolution shard x3, Magmil x4, Black lyka x2, Stick x25, Eread x3, Mazu Fish x1, Lotar x1, Wyrm x5, Prysiv x4, Fica x1, Fica seeds x2, Phaloo seeds x8, Chush x2, Cooked Mazu Fish x1, Vielli seed x3, Tagbo Fish x1, Dryxon Mushroom x1, Fossilized Whisker x2, Pyre x3, Fossilized Claw x1, Fossilized Horn x1, Fossilized Feather x2, Evolution Stone 1x	x1 candy insides, 1x perfect mazu pyre	Lesser Pickaxe Evolution Stone Twine Fishing Pole Greater Pickaxe Anvil Campfire            Revival Potion          Cooked Chush Ancient Water Umi Hoe Pot Ancient Air Umi  Mutation	M02e-0 W01u-0                    FF01X - 0                     C06X-0                 C09E-0 AN14RX- 0	Plot 1 - Untilled	Creation                     OG Paws or Claws Participation  Sugar Daddy               Artifact Holder               Pirate Of The Seven Seas Bring On The Heat           Free Birds                    Artifact Finder
133	bergierpants	9,335 UBP 28 umbo 6 Bells 2 CH 0 Eggs 25 Mazu Pyre	 2x feyndeer, x2 ilgbii, 1x abyssius, 1x Fairyfly	Confetti x1, x2 Tentacles, x3 familiar, x2 scarecrow, Bug parts x1, Zippers x1, Bat-like ears x2, Sand parts x1, 1 Requirement ignore, Ices horns/spikes x1, Glow x1, 1x detached/floating limbs, Snowman x1, Mushroom growth 1x	Stone x47, Stick x30, Mazu Berry x24, Magmil x16, Pyre x5, Phaloo x17, Evolution shard x14, Black Lyka x2, Evolution Stone x7, Vielli Seed x3, Phaloo Seeds x7, Dryxon Mushroom x1, Prysiv Seeds x2, Eread x2, Wyrm x1, Magicule Seal x1, Fossilized Feather x2, Fossilized Whisker		Lesser Pickaxe Evolution Stone Hoe Plushpit Revival Potion, Cooked mazu fish, Armor 2, Stew Greater Fishing Pole  Campfire 	C09E - 0 M03U - 0 C09E - 0 DB02U - 0 FF28X - 0	1 Plot of Land	Creation!                OG     First Quest                    Pirate Of The Seven Seas Bring On The Heat
134	buniiezz	3,770 UBP	2 Abyssius, 2 Cupid		Stick x4, Stone x2, Mazu berry x2, Phaloo x2	1 Elementary myo				Creation!                OG    
135	darothewolf	3,190 UBP 7 Umbo			Mazu berry x6, Evolution shard x12, Pyre x12, Stone x26, Stick 5, Black Lyka x3, Phaloo x3, Magmil x5	Candy insides	Lesser Pickaxe Greater Pickaxe			Creation!  OG  First Quest
136	baileisincream	400 UBP 60 Umbo 25 Mazu Pyre	1 Abyssius, 1 Cupid, 1 Ilgbii, 1 Fairyfly, 1 Mixdrid	Skull Head x1	Stick x7, Stone x16, Phaloo x5, Mazu Berry x4, Magicule seal x1, Evolution Shard x13, Chush Seeds x1, Wyrm x2, Magmil x2, Phaloo seeds x2, Eread x4, Prysiv x2, Prysiv seeds x3, Lotar x6, Mazu fish x1, Pyre x1, Black lyka x1, Fossilized Feather x1	1 Elementary MYO	Lesser Pickaxe Greater Pickaxe Twine Anvil  Armor 1 Hoe Cooked Mazu Fish	FF30X - 0 FF44X -0		Creation!               OG     Paws or Claws Participation
137	my.bixie	125 UBP								Creation! 
138	cawffeejelly	1,100 UBP	1 Cupid							Creation!
139	phantillyc	1,365 UBP			Stick x8, Mazu berry x10, Evolution shard x11, Phaloo x5, Black lyka x4, Magmil x6, Stone x9, Pyre x5, Eread x2, Wyrm x1, Prysiv x1		Lesser Pickaxe Greater Pickaxe			Creation!  First Quest
140	starlight._.child	1,120 UBP	1 Elementary							Creation!
141	beanie_fly_	100 UBP				x1 candy insides 				Creation!              Paws or Claws Participation
142	starryhoneybeez._	120 UBP				1 Elementary myo				Creation!
143	the_kid_in_the_corner15	2,279 UBP 26 Umbo 6 Eggs                         19 Mazu Pyre	1x Elementary, Mixrid x1, Fairyfly x1	water parts 2x, candy parts 1x, Familiars x1, Multiple eyes x2, Gachapon x1, Chocolate Parts x1, Runes x1, Spikes x2, Geode Mutation x1, albinism x1, Bird Hind Legs x1, Amber x1, Cloud Head x1, Hollow Body/Mushroom x2, Bug Parts x1, Wings mutation 1x, Horns 1x, Zombism/Mushrooms x2, Tree/Mushrooms x1, Spores/Mushroom x1, Glow/Mushrooms x1, Floating Limbs x1	Mazu berry x29, Stick x47, Phaloo x19, Stone x55, Igblii Flower x2, Phaloo Seeds x13, Fossilized horn 2x, Fossilized Whisker x1, Magmil x17, Evolution stone x1, Pyre x2, Wyrm x1, Chush seeds x1, Fossilized Feather x1, Evolution Shard x16, Prysiv x3 , Prysiv Seeds x2, Black Lyka x7, Eread x4, Vielli Seed x1, Lotar x7, Pyre x2, Fossilized Claw x1, Tagbo Fish x4, Cooked Mazu Fish x1, Cooked tagbo fish 1x, magicule seal x1, 2x Mushrumi spore		Armor 1 Lesser Pickaxe  Fishing Pole  Evolution Stone Ancient Water Umi Campfire Cooked Mazu Fish Cooked Fica Ilgbii Umi Hoe Pot Revival potion Anvil.                                     Mutations.                                    Greater pickaxe 	FF01X-0  PP12U - 0  M08U-0 C02X -0 M04U - 0 M06X  - 0 I03U-0 B04U- 0 FF72X - 0	Plot 1 - Untilled	Creation!                               quest completion! free birds First Quest MQB Novice 5 MQB Prompts 10 MQB Promts Event Participation Event Visitor  Event Goer Stone Age Magicule Gatherer Field Researcher Apprentice  Edge of Death Propagator Expanding the gene pool Farmers Hand Bucket Avid Player
144	fuyna.lullaby	5,445 UBP 2 Umbo		x2 Bat-like Ears, x4 Familiars, x2 Shadowmorph, x1 Glitch, x1 Zipper, x1 Candy Parts, x1 Floating Objects, x1 Horns, x1 Wings	Evolution shard x4, Stick x6, Stone x10, Phaloo x2, Mazu berry x3, Black Lyka x1	1 Elementary myo				Creation! First Quest
145	nyxoom_draws	1,088 UBP 8 Umbo 8 Bells 0 CH 13 Eggs 10 Mazu Pyre	Elementary x2, Cupid x1,   Abyssius x1  Fire x1, ilgbii x 1 	fruit x1, floating limbs x1, Zippers x2, Albinism x1 , Glow x1, Different Back Legs x1, Snowman x1, Plant Growth x1, Claws x1, leaky/mushrooms x3, spores/mushrooms x1, Gingerbread x1, Multi Limbs x1, Bird Legs x2, Dyed Egg x1, Pollinator Puff x2 Hoof back legs x1, Gachapon x1, Bug Parts x1, Confetti x1, Long body x1, Piebald x2, Horns x3, Different Ears x1, 1x Fangs, 2x Amber, 2x Relic, 2x Runes, 3x Spikes, Wings 1x, Gills/mushrooms x1	Stone x16, Stick x10, Phaloo x7, Ilgbii Flower x1, Vielli Seed x3, Fossilized whisker x2, Evolution stone x4, Fossilized Feather x2, 1x Fossilixed Claw, 1x Fossilized Whisker, 1x Fossilized Horn, Phaloo Seeds x1, Dryxon mushroom 1x	x1 candy insides	Lesser Pickaxe Greater Pickaxe Anvil Evolution Stone UBP Hoe  Pot  Ilgbii Umi  Ancient Water Umi Ancient Fire Umi Ancient Earth Umi Ancient Air Umi	M01U - 0                 MC01U - 0             J01U - 0 M05U - 0	Plot of Land 1 - Untilled	Creation!              Paws or Claws Participation  Bring on the Heat          Pirate Of The Seven Seas
146	furrealneeds	385 UBP				1 Elementary myo				Creation!
147	echoraptorz	100 UBP				1 Elementary myo				Creation!
148	ghoulish_guy	137 UBP           18 Umbo          5 CH		Robotic Parts x1						Creation!
149	korkikorel	4,640 UBP                         5 CH	1 Cupid, 1 Abyssius 	x1 Floating Objects, x1 Horns, x1 Wings, x1 Albinism	Stone x27, Pyre x6, Mazu Berry x2, Black Lyka x7, Evolution shard x3, Phaloo x1, Magmil x7, Stick		Lesser Pickaxe Greater Pickaxe			Creation!
150	thexghosting	2,320 UBP 7 CH 78 Bells 28 Mazu Pyre	1 Cupid, 1 Elementary, 1 Fairyfly	x1 Horns, x1 Familiars, Skull Head x2, Albinism x1, Fangs x1, Wing Ears x1	Stick x22, Stone x22, Phaloo x10, Mazu Berry x12, Evolution Shard x15, Evolution Stone x1, Magicule Seal x1, Black Lyka x4, Lotar x7, Magmil x5, Eread x7, Wyrm x6, Pyre x1, Prysiv x6, Prysiv Seeds x3, Tagbo Fish x3, Cooked Mazu Fish x2, Fossilized Whisker x1, Revival Potion x1, Dryxon mushroom 1x, Vielli seed 1x, Phaloo Seeds x4,		Greater Pickaxe  Fishing pole Twine cooked mazu fish cooked tagbo fish Ilgbii Umi Recipe	FF38X - 0 AN11RX -0 C02X -0		Creation!                                          MQB Novice First Quest 5 MQB Prompts First Action Necromancer
151	simon_the_katt	2,485 UBP 31 Umbo 5 CH.                         13 MP	1 Fairyfly		Stick x7, Stone x14, Phaloo x5, Mazu Berry x6, Evolution Shard x3, Evolution Stone x1, Magicule Seal x1, Black Lyka x3, Lotar x3, Magmil x3, Eread x3, Wyrm x2, Pyre x1, Prysiv x2, Prysiv Seeds x2, Mazu Fish x2, Tagbo Fish x2		Lesser pickaxe	ff01x_0 FF22X - 0		Creation!
152	unnatural_oatmeal	2,869 UBP 9 Umbo 40 Bells 11 CH 3 Eggs 18 Mazu Pyre	2 Elementary, 1 Feyndeer, 1 Cupid	x1 piebald, 1x candy cane horns, 1x gingerbread parts, 1x icicle teeth, 2x wings, 1x tentacles, Chocolate parts x1, Ghost parts x1, Long Body x1, Horns x1, Claws x1, Icicle Spikes x1, glow x1, bug parts x1, Mushroom growth 1x	Stone x38, Mazu Berry x17, Pyre x10, Magmil x18, Phaloo x10, Black lyka x10, Stick x24, Evolution Stone x2, Pyre x3, Phaloo Seeds x5, Wyrm x2, Fica x1, Magicule Seal x1, Fossilized Whisker x1, Dryxon mushroom 1x	x1 candy insides	Lesser Pickaxe Evolution Stone Greater Pickaxe			Creation!             Paws or Claws Participation 
153	kats.cafe	1,690 UBP	1 Cupid, 1 Elementary			1 Elementary MYO				Creation!
154	Kuroki_09	1,350 UBP 2 Umbo	2 Ilgbii, 3 Cupid			1 Elementary MYO x1 candy insides 				Creation! Paws or Claws Participation 
155	yuckbubbles	100 UBP, 10 Umbo				x1 candy insides				Creation! Paws or Claws Participation!
156	raeya_draws	1,600 UBP	1 Elementary MYO	Wings x1, horns x1, different ears x1, Albinism x1	Mazu Berry x19, Evolution Shard x7, Phaloo x17, Black Lyka x6, Pyre x3, Magmil x6, Stone x32, Stick x38					Creation!
157	phantomhive_arts	660 UBP	1 Cupid	horns, floating objects, Dullahan, Zippers and Familiars	Mazu Berry x6, Stick x10, Stone x14, Black lyka x1, Magmil x3, Phaloo x5, Evolution Stone x1	1 Elementary MYO, Abyssius Umi MYO	Evolution Stone			Creation!
158	draggis64	850 UBP 189 Umbo 5 CH	1 elementary myo	Spores, mushroom growth, fire	Mazu Berry x1, Stick x3, Phaloo x2, Stone x13, Black Lyka x1, Magmil x6, Evolution Stone x1, Evolution Shard x5, Pyre x1	 x1 candy insides	Lesser Pickaxe  Evolution stone, Greater Pickaxe	C04X-0		Creation!  Paws or Claws Participation 
159	uncannymutt_	1,110 UBP	1 Abyssius			1 Elementary MYO				Creation!
160	de.vina_twii	4,30 UBP 4 Umbo 4 Bells 5 CH	1x Elementary, 2x Feyndeer 	x1 Albinism, x1 Fire, 1x Long body, x1 Glow, Mushroom growth 1x	Stone x10, Mazu berry x15, Stick x19, Evolution Shard 3x, Phaloo x10, Prysiv seeds x3, Eread x6, Wyrm x4, Phaloo seeds x1, Prysiv x2, 2x igblii flower, 1x revival potion, Vielli seed 1x, Dryxon mushroom 1x	x1 candy insides 		C03U-4 M04U-1		Creation! Paws or Claws Participation 
161	5erafina_	130 UBP				1 Elementary MYO 				Creation!
162	bogbeetle	960 UBP                                  5 eggs			1 ilgbii flower, 1 revival potion			ff01x-0		Creation!                                                    quest completion
163	_mega_mogul_	100 UBP 20 Umbo 5 CH	2 Elementary MYOs, 1 Abyssius, 1 Cupid, 1 Ilgbii, 1 Feyndeer 	Piebald x1, Albinism x1, Glow x1, Fangs x1, Glitch x1, Familiars x1, Dullahan x1, Leaky/mushrooms x1, tree/mushrooms x1	Stick x20, Mazu berry x7, Phaloo x7, Stone x12, Evolution shard x4					Creation!
164	strawberrry._.sh0rtcake	100 UBP	1 Elementary 	x1 plant growth 						Creation!
165	dracowolf_x	1,050 UBP			Stick x3, Mazu berry x5, Stone x4, Evolution shard x1, Phaloo x1, Stone x2	1 elementary MYO		C04X -0		Creation!
166	ren_sux_loves_sean	100 UBP                                 11 CH								Creation!
167	miss_iindigo	100 UBP   60 Bells 15 CH	1 elementary		Ilgbii flower x1					Creation!
168	corgighost	1110 UBP 36 Umbo	1 Abyssius			1 Elementary MYO, x1 candy insides 				Creation! Paws or Claws Participation 
