,Owner,TH link,Gene,Past Forms,Level,XP,Damage (health/10),Tool x Use,Myo? (yes/no)
3501,vinny._.kitty,https://toyhou.se/24535191.3501,Elementary,,1,0/5,10/10,,no
3502,tama.novie,https://toyhou.se/24535196.3502,Elementary,,1,0/5,10/10,,no
3503,brigitta_halim,https://toyhou.se/24535211.3503,Elementary,,1,0/5,10/10,,no
3504,shiro._.yuki,https://toyhou.se/24535215.3504,Elementary,,1,0/5,10/10,,no
3505,itx_ogamii,https://toyhou.se/24535224.3505,Elementary,,1,0/5,10/10,,no
3506,risk_of_systematic_chaos,https://toyhou.se/24535233.3506,Elementary,,1,0/5,10/10,,no
3507,_0_strawberrymilk_0_,https://toyhou.se/24535244.3507,Elementary,,1,0/5,10/10,,no
3508,chiliimelon,https://toyhou.se/24535250.3508,Elementary,,1,0/5,10/10,,no
3509,kindhearted_mouse,https://toyhou.se/24535255.3509,Elementary,,1,0/5,10/10,,no
3510,honey_.milktea,https://toyhou.se/24535335.3510,Elementary,,1,0/5,10/10,,no
3511,_pumpkin_patxh_,https://toyhou.se/24535340.3511,Elementary,,1,0/5,10/10,,no
3512,lark_barks,https://toyhou.se/24535345.3512,Elementary,,1,0/5,10/10,,no
3513,neighborlynarwhal,https://toyhou.se/24535354.3513,Elementary,,1,0/5,10/10,,no
3514,bergierpants,https://toyhou.se/24535365.3514,Elementary,,1,0/5,10/10,,no
3515,unnatural_oatmeal,https://toyhou.se/24535372.3515,Elementary,,1,0/5,10/10,,no
3516,sketchy.pigeon,https://toyhou.se/24535376.3516,Elementary,,1,0/5,10/10,,no
3517,_crims0n.mamaart_,https://toyhou.se/24536519.3517,Elementary,,1,0/5,10/10,,No
3518,Crash_pilot,https://toyhou.se/24555307.3518-myo,Elementary,,1,0/5,10/10,,Yes
3519,n/a,https://toyhou.se/24565296.3519,Elementary,,1,0/5,10/10,,no
3520,chiliimelon/Crash_pilot,https://toyhou.se/24577191.3520,Elementary,,1,0/5,10/10,,No
3521,Usukiarts,https://toyhou.se/24577214.3521,Elementary,,1,0/5,10/10,,No
3522,Dawn_And_Friends,https://toyhou.se/24587818.3522-myo,Elementary,,1,0/5,10/10,,yes
3523,Dawn_And_Friends,https://toyhou.se/24587829.2523-myo,Elementary,,1,0/5,10/10,,yes
3524,Dawn_And_Friends,https://toyhou.se/24587844.2524-myo,Elementary,,1,0/5,10/10,,yes
3525,mixies_sketchbook,https://toyhou.se/24617916.3525,Mushrumi ,,1,0/5,10/10,,yes
3526,Eepiiin,https://toyhou.se/24630655.3526-myo,Feyndeer,,1,0/5,10/10,,yes
3527,sour.rot,https://toyhou.se/24630700.3527-myo,Elementary,,1,0/5,10/10,,yes
3528,Eepiiin,https://toyhou.se/24631019.3528,Elementary,,1,0/5,10/10,,no
3529,bergierpants,https://toyhou.se/24631028.3529,Elementary,,1,0/5,10/10,,no
3530,AceByte,https://toyhou.se/24631171.3530,Elementary,,1,0/5,10/10,,no
3531,_.PhoenixArtz._,https://toyhou.se/24646693.3531,Abyssius,,1,0/5,10/10,,yes
3532,_.PhoenixArtz._,https://toyhou.se/24655510.3532,Elementary,,1,0/5,10/10,,no
3533,N/A,https://toyhou.se/24655553.3533,Elementary,,1,0/5,10/10,,no
3534,N/A,https://toyhou.se/24655578.3534,Elementary,,1,0/5,10/10,,no
3535,N/A,https://toyhou.se/24655597.3535,Elementary,,1,0/5,10/10,,no
3536,Risk_Of_Systematic_Chaos,https://toyhou.se/24655623.3536,Elementary,,1,0/5,10/10,,no
3537,Eepiiin,https://toyhou.se/24655662.3537,Elementary,,1,0/5,10/10,,no
3538,sour.rot,https://toyhou.se/24655688.3538,Elementary,,1,0/5,10/10,,no
3539,Eepiiin,https://toyhou.se/24655707.3539,Elementary,,1,0/5,10/10,,non
3540,Gummymoth,https://toyhou.se/24655726.3540,Elementary,,1,0/5,10/10,,no
3541,Luxicitii,https://toyhou.se/24655874.3541,Elementary,,1,0/5,10/10,,no
3542,N/A,https://toyhou.se/24655957.3542,Elementary,,1,0/5,10/10,,no
3543,N/A,https://toyhou.se/24656140.3543,Elementary,,1,0/5,10/10,,no
3544,N/A,https://toyhou.se/24656175.3544,Elementary,,1,0/5,10/10,,no
3545,N/A,https://toyhou.se/24656195.3545,Elementary,,1,0/5,10/10,,no
3546,Crash_Pilot,https://toyhou.se/24684434.3546-myo,Ilgbii,,1,0/5,10/10,,yes
3547,Hamcat,https://toyhou.se/24684492.3547-myo,Abyssius,,1,0/5,10/10,,yes
3548,brigitta_halim,https://toyhou.se/24684850.3548-myo,Abyssius,,1,0/5,10/10,,yes
3549,Quollian,3549 on Toyhouse,Elementary,,1,0/5,10/10,,no
3550,Lazuu.UwU,https://toyhou.se/24695265.3550-myo,Elementary,,1,0/5,10/10,,yes
3551,Usukiarts,https://toyhou.se/24698884.3551,Elementary,,1,0/5,10/10,,No
