,Username,TH link,Gene,Past Forms,Level,XP,Damage (health/10),Tools x use,Myo?
1001,risk_of_systematic_chaos,1001 on Toyhouse,Elementary,,1,0/5,10/10,,no
1002,Kindhearted_Mouse,1002 on Toyhouse,Elementary,,1,0/5,10/10,,no
1003,Stwabby_roomz,1003 on Toyhouse,Elementary,,1,0/5,10/10,,no
1004,Stwabby_roomz,1004 on Toyhouse,Elementary,,10,2/26,0/10,,no
1005,willem_dafoe_offical,1005 on Toyhouse,Elementary,,1,0/5,10/10,,no
1006,TarotsTrinkets,1006 on Toyhouse,Elementary,,1,0/5,10/10,,no
1007,n/a,1007 on Toyhouse,Elementary,,1,0/5,10/10,,no
1008,n/a,1008 on Toyhouse,Elementary,,1,0/5,10/10,,no
1009,TarotsTrinkets,1009 on Toyhouse,Elementary,,1,0/5,10/10,,no
1010,TarotsTrinkets,1010 on Toyhouse,Elementary,,1,0/5,10/10,,no
1011,mixies_sketchbook,1011 on Toyhouse,Earth - Slime,,7,2/15,9/10,,no
1012,n/a,1012 on Toyhouse,Elementary,,1,0/5,10/10,,no
1013,TarotsTrinkets,1013 on Toyhouse,Elementary,,1,0/5,10/10,,no
1014,TarotsTrinkets,1014 on Toyhouse,Elementary,,1,0/5,10/10,,no
1015,honeybee_fanfare,1015 on Toyhouse,Elementary,,1,0/5,10/10,,no
1016,Chaotic_Clueless,1016 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1017,Anni3bytez,1017 on Toyhouse,Elementary,,4,3/8,10/10,,no
1018,Chaotic_Clueless,1018 on Toyhouse,Elementary,,1,0/5,10/10,,no
1019,diino.miilk ,1019 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1020,diino.miilk ,1020 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1021,diino.miilk,1021 on Toyhouse,Elementary,,6,9/12,9/10,,no
1022,my.bixie,1022 on Toyhouse,Elementary,,1,0/5,10/10,,no
1023,diino.miilk,1023 on Toyhouse,Elementary,,1,0/5,10/10,,no
1024,willem_dafoe_offical ,1024 on Toyhouse,Feyndeer,N/A,9,13/22,3/10,Filled Pot x9,no
1025,echoraptorz,1025 on Toyhouse,Elementary,,1,0/5,10/10,,no
1026,draggis64,1026 on Toyhouse,Elementary,,1,2/5,10/10,,no
1027,Eepiiin,1027 on Toyhouse,Elementary,,8,0/18,1/10,,no
1028,_.cloudy.cart._  ,1028 on Toyhouse,Elementary,,1,0/5,10/10,,no
1029,n/a,1029 on Toyhouse,Elementary,,1,0/5,10/10,,no
1030,n/a,1030 on Toyhouse,Elementary,,1,0/5,10/10,,no
1031,chaotic_clueless,1031 on Toyhouse,air-cosmic,Elementary,5,0/10,7/10,,no
1032,n/a,1032 on Toyhouse,Elementary,,1,0/5,10/10,,no 
1033,Chaotic_Clueless,1033 on Toyhouse,Elementary,,1,0/5,10/10,,no
1034,diino.miilk,1034 on Toyhouse,Elementary,,1,0/5,10/10,,no
1035,_crims0n.mamaart_,1035 on Toyhouse,Elementary,,1,0/5,10/10,,no
1036,holly.lovesducks,1036 on Toyhouse,Elementary,,8,1/18,10/10,Greater Pickaxe x8,no
1037,dragon092727,1037 on Toyhouse,Elementary,,3,1/6,10/10,,no
1038,crash_pilot,1038 on Toyhouse,Elementary,,1,0/5,10/10,,no 
1039,corgighost,1039 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1040,Kindhearted_Mouse,1040 on Toyhouse,Elementary,,1,0/5,10/10,,no 
1041,_fluffywuffyfluffo,1041 on Toyhouse,Elementary,,1,0/5,10/10,,no
1042,n/a,1042 on Toyhouse,Elementary,,1,0/5,10/10,,no
1043,n/a,1043 on Toyhouse,Elementary,,1,0/5,10/10,,no
1044,diino.miilk ,1044 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1045,_.PhoenixArtz._,1045 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
1046,tarotstrinkets,1046 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1047,oops_jinxed_it,1047 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
1048,diino.miilk,1048 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
1049,usukiarts,1049 on Toyhouse,Elementary,,1,0/5,10/10,,no
1050,usukiarts,1050 on Toyhouse,Elementary,,1,0/5,10/10,,no
1051,danmanartington,1051 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1052,stwabby_roomz,1052 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1053,a_foxes_darling,1053 on Toyhouse,Elementary,,1,0/5,10/10,,no
1054,Chaotic_Clueless,1054 on Toyhouse,Elementary,,1,1/5,10/10,,no
1055,lazuu.uwu_art,1055 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1056,ivorypetalss,1056 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1057,neighborlynarwhal,1057 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1058,Kindhearted_Mouse,1058 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1059,Thefishofthecat,1059 on Toyhouse,Feyndeer,N/A,1,2/5,10/10,,no
1060,_pumpkin_patxh_,1060 on Toyhouse,Elementary,,1,0/5,10/10,,no
1061,Thefishofthecat,1061 on Toyhouse,Earth-Plant,,5,7/10,4/10,"Anvil x9
Hoe x4 
Pot x9",No
1062,mixies_sketchbook,1062 on Toyhouse,Elementary,,1,0/5,10/10,,no
1063,chaotic_Clueless,1063 on Toyhouse,air-cosmic,elementary ,5,1/10,10/10,,no
1064,ghostlytwickster,1064 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1065,"ghostlytwickster 
& axolotol1nc_",1065 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1066,unnatural_oatmeal,1066 on Toyhouse,Elementary,,2,0/5,10/10,,no
1067,unnatural_oatmeal,1067 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1068,Diino.miilk,1068 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1069,Diino.miilk,1069 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1070,Diino.miilk,1070 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,No
1071,_.PhoenixArtz_. ,1071 on Toyhouse,Elementary,N/A ,9,12/22,5/10,,no
1072,ghostlytwickster,1072 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1073,usukiarts,1073 on Toyhouse,Elementary,N/A,1,0/5,10/10,,No
1074,chaotic_clueless,1074 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1075,a_foxes_darling,1075 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1076,diino.miilk,1076 on Toyhouse,Elementary,N/A,1,0/5,10/10,,no
1077,diino.miilk,1077 on Toyhouse,Elementary,N/A,1,0/5,10/10,,No
1078,Kindhearted_Mouse,1078 on Toyhouse,Elementary,N/A,1,0/5,10/10,,no
1079,stwabby_roomz,1079 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1080,_pumpkin_patxh_,1080 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,no
1081,Chiliimelon,1081 on Toyhouse,Cupid,abyssius,2,3/5,10/10,,yes
1082,bergierpants,1082 on Toyhouse,Elementary,,1,0/5,10/10,,no
1083,n/a,1083 on Toyhouse,Elementary,,1,0/5,10/10,,no
1084,n/a,1084 on Toyhouse,Elementary,,1,0/5,10/10,,no
1085,c0smic_m4tter,1085 on Toyhouse,Elementary,,1,0/5,10/10,,no
1086,mixies_sketchbook,1086 on Toyhouse,Elementary,,1,0/5,10/10,,no
1087,n/a,1087 on Toyhouse,Elementary,,1,0/5,10/10,,no
1088,mixies_sketchbook,1088 on Toyhouse,Elementary,,1,1/5,10/10,,no
1089,mixies_sketchbook,1089 on Toyhouse,Elementary,,1,0/5,10/10,,no
1090,mixies_sketchbook,1090 on Toyhouse,Elementary,,1,0/5,10/10,,no
1091,_mega_mogul_,1091 on Toyhouse,Elementary,,1,1/5,10/10,,no
1092,mixies_sketchbook,1092 on Toyhouse,Elementary,,1,0/5,10/10,,no
1093,mixies_sketchbook,1093 on Toyhouse,Elementary,,2,3/5,10/10,,no
1094,mixies_sketchbook,1094 on Toyhouse,Elementary,,2,0/5,10/10,,no
1095,_mega_mogul_,1095 on Toyhouse,Elementary,,2,0/5,9/10,,no
1096,mixies_sketchbook,1096 on Toyhouse,Elementary,,1,0/5,10/10,,no
1097,_mega_mogul,1097 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1098,Sketchy.pigeon,1098 on Toyhouse,Feyndeer,N/A,2,0/5,7/10,,no
1099,thefishofthecat,1099 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1100,thefishofthecat,1100 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,Yes
1101,thefishofthecat,1101 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,No
1102,Kindhearted_Mouse,1102 on Toyhouse,Elementary,,1,0/5,10/10,,no
1103,thefishofthecat,1103 on Toyhouse,Elementary,,1,0/5,10/10,,no
1104,nini.cosmoart,1104 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1105,nini.cosmoart,1105 on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
1106,gummymoth ,1106 on Toyhouse,Ilgbii,N/A,12,8/30,7/10,"Anvil x9 
Armor 2 x2
Pot x6
Hoe x10",No
1107,ghostlytwickster,1107 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1108,_pumkin_patxh_,1108 on Toyhouse,Elementary,,1,0/5,10/10,,no
1109,bergierpants,1109 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1110,_crims0n.mamaart_,1110 on Toyhouse,Ancient Air,,1,0/5,10/10,,Yes
1111,zak_5670,1111 on Toyhouse,Fire-Chaos,,10,7/26,1/10,"Lesser Pickaxe x4
Fishing pole x5",No
1112,oops_jinxed_it,1112 on Toyhouse,Abyssius ,N/A,1,0/5,10/10,,No
1113,floof._.adopts,1113 on Toyhouse,Ilgbii ,N/A,1,0/5,10/10,,Yes
1114,atzi_tlayouak,1114 on Toyhouse,Elementary,,1,0/5,10/10,,no 
1115,rai_flanner_horder,1115 on Toyhouse,Elementary,,1,0/5,10/10,,no
1116,FrostArtsStudios ,1116 on Toyhouse,Elementary,,12,10/30,5/10,,no
1117,floof._.adopts,1117 on Toyhouse,Elementary,,4,0/8,2/10,,no
1118,_infamous_comedown_ok,1118 on Toyhouse,Elementary,,1,0/5,10/10,,no
1119,_.phoenixartz._,1119 on Toyhouse,Elementary,,1,0/5,10/10,,no
1120,kindhearted_Mouse,1120 on Toyhouse,Elementary,,1,0/5,10/10,,no
1121,kindhearted_Mouse,1121 on Toyhouse,Elementary,,1,0/5,10/10,,no
1122,mixies_sketchbook,1122 on Toyhouse,Elementary,,1,0/5,10/10,,no
1123,Stwabby_roomz,1123 on Toyhouse,Elementary,,2,1/5,10/10,,no
1124,epicbeansprout,1124 on Toyhouse,Elementary,,1,0/5,10/10,,no
1125,diino.miilk,1125 on Toyhouse,Elementary,,1,0/5,10/10,,no
1126,_d3f4ult_art,1126 on Toyhouse,Elementary,,3,0/6,6/10,,no
1127,diino.miilk,1127 on Toyhouse,Elementary,,1,0/5,10/10,,no
1128,diino.miilk,1128 on Toyhouse,Elementary,,1,0/5,10/10,,no
1129,neighborlynarwhal,1129 on Toyhouse,Elementary,,1,0/5,10/10,,no
1130,unnatural_oatmeal,1130 on Toyhouse,Elementary,,1,0/5,10/10,,no
1131,epicbeansprout,1131 on Toyhouse,Elementary,,1,0/5,10/10,,no
1132,willem_dafoe_offical,1132 on Toyhouse,Elementary,,1,0/5,10/10,,no
1133,willem_dafoe_offical,1133 on Toyhouse,Elementary,,1,0/5,10/10,,no
1134,mixies_sketchbook,1134 on Toyhouse,Elementary,,5,2/10,10/10,,no
1135,risk_of_systematic_chaos,1135 on Toyhouse,Elementary,,1,0/5,10/10,,no
1136,stwabby_roomz,1136 on Toyhouse,Elementary,,1,0/5,10/10,,no
1137,Crash_pilot,1137 on Toyhouse,Elementary,,1,0/5,10/10,,no
1138,the_indigo_arrow,1138 on Toyhouse,Elementary,,1,0/5,10/10,,yes
1139,Kindhearted_Mouse,1139 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,no
1140,Kindhearted_Mouse,1140 on Toyhouse,Feyndeer,N/A,1,0/5,10/10,,yes
1141,Kindhearted_Mouse,1141 on Toyhouse,Abyssius,N/A,1,0/5,10/10,,yes
1142,Kindhearted_Mouse,1142 on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,yes
1143,Fuyna.Lullaby,1143 on Toyhouse,Elementary,,1,0/5,10/10,,yes
