,Owner,TH link,Gene,Past Forms,Level,XP,Damage (health/10),Tool x Use,Myo? (yes/no)
2001,exploder105,2001 (MYO) on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
2002,exploder105,2002 (MYO) on Toyhouse,Cupid,N/A,1,0/5,10/10,,yes
2003,exploder105,2003 (MYO) on Toyhouse,Ilgbii,N/A,1,0/5,10/10,,yes
2004,Constellixx,2004 (MYO) on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2005,hollowedvoid,2005 (MYO) on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2006,diino.miilk,2006 on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2007,bro___boi,2007 on Toyhouse,Ilgbii,,5,2/10,4/10,,no
2008,bro___boi,2008 on Toyhouse,Ilgbii,,1,0/5,10/10,,no
2009,_nan_mais_mdr_,2009 (MYO) on Toyhouse,Cupid,,1,0/5,10/10,,yes
2010,nyxoom_draws,2010 on Toyhouse,Ilgbii,,1,4/5,10/10,,no
2011,fetch_the_lamp,2011 (MYO) on Toyhouse,Ilgbii,,1,0/5,10/10,,yes
2012,mixies_sketchbook and TarotsTrinkets,2012 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2013,mixies_sketchbook and TarotsTrinkets,2013 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2014,n/a,2014 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2015,mixies_sketchbook and TarotsTrinkets,2015 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2016,frostartsstudios,2016 on Toyhouse,Elementary ,,6,1/12,7/10,,no
2017,fatterhorner,2017 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2018,mixies_sketchbook and TarotsTrinkets,2018 on Toyhouse,Elementary ,,7,2/15,1/10,,no
2019,n/a,2019 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2020,frostartsstudios,2020 on Toyhouse,Earth - Slime,Elementary ,5,5/10,10/10,,no
2021,mixies_sketchbook,2021 on Toyhouse,Elementary ,,1,1/5,10/10,,no
2022,n/a,2022 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2023,n/a,2023 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2024,n/a,2024 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2025,mn/a,2025 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2026,n/a,2026 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2027,Peachiibee.s,2027 on Toyhouse,Ilgbii,,1,0/5,10/10,,no
2028,_crims0n.mamaart_,2028 on Toyhouse,Ilgbii,,1,0/5,10/10,,no
2029,munchberrybear,2029 MYO on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2030,N/A,2030 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2031,lark_barks,2031 on Toyhouse,Elementary ,,2,0/5,10/10,,no
2032,sour.rot,2032 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2033,rindindesignz,2033 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2034,c0smic_m4tter,2034 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2035,c0smic_m4tter,2035 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2036,Mixies_sketchbook,2036 on Toyhouse,Elementary ,,2,0/5,10/10,,no
2037,guts4goats,2037 (MYO) on Toyhouse,Cupid,,1,0/5,10/10,,yes
2038,c0smic_m4tter,2038 on Toyhouse,Elementary ,,6,3/12,10/10,,no
2039,bro___boi,2039 on Toyhouse,Ilgbii,,10,23/26,2/10,,no
2040,n/a,2040 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2041,c0smic_m4tter,2041 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2042,honey_.milktea,2042 on Toyhouse,Elementary ,,10,7/26,9/10,,no
2043,ssaltlicc,2043 on Toyhouse,Abyssius,,1,2/5,10/10,,no
2044,epicbeansprout,2044 on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2045,thexghosting,2045 on Toyhouse,Feyndeer,,9,3/22,1/10,Anvil x10,no
2046,n/a,2046 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2047,n/a,2047 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2048,n/a,2048 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2049,n/a,2049 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2050,_fluffywuffyfluffo,2050 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2051,c0smic_m4tter,2051 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2052,n/a,2052 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2053,c0smic_m4tter,2053 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2054,n/a,2054 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2055,n/a,2055 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2056,N/a,2056 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2057,c0smic_m4tter,2057 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2058,sour.rot,2058 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2059,de.vina_twii,2059 on Toyhouse,Cupid,,1,0/5,10/10,,no
2060,diino.miilk,2060 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2061,n/a,2061 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2062,frostartsstudios,2062 on Toyhouse,Elementary ,,6,1/12,3/10,,no
2063,n/a,https://toyhou.se/21246788.2063,Elementary ,,1,0/5,10/10,,no
2064,tinyarsonic,https://toyhou.se/21247004.2064,Ilgbii,,1,0/5,10/10,,yes
2065,tinyarsonic,https://toyhou.se/21247018.2065,Elementary ,,1,0/5,10/10,,yes
2066,tinyarsonic,https://toyhou.se/21247024.2066,Elementary ,,1,0/5,10/10,,yes
2067,tinyarsonic,https://toyhou.se/21247030.2067,Elementary ,,1,0/5,10/10,,yes
2068,fish_b1te,https://toyhou.se/21262818.2068,Ilgbii,,1,0/5,10/10,,
2069,fish_b1te,https://toyhou.se/21262829.2069,Ilgbii,,1,0/5,10/10,,
2070,_nan_mais_mdr_,https://toyhou.se/21262865.2070,Ilgbii,,1,0/5,10/10,,yes
2071,dragonfartstudios,https://toyhou.se/21267587.2071,Elementary ,,1,0/5,10/10,,
2072,n/a,https://toyhou.se/21267618.2072,Elementary ,,1,0/5,10/10,,
2073,slyvester_the_skunk,https://toyhou.se/21267649.2073,Elementary ,,1,0/5,10/10,,
2074,n/a,https://toyhou.se/21267665.2074,Elementary ,,1,0/5,10/10,,
2075,lupus._.draws,2075 on Toyhouse,Ilgbii,,1,3/5,10/10,,no
2076,guts4goats,2076 on Toyhouse,Feyndeer,,2,0/5,10/10,,yes
2077,sour.rot,https://toyhou.se/21279164.2077,Elementary ,,1,2/5,10/10,,
2078,sour.rot,https://toyhou.se/21279180.2078,Elementary ,,1,0/5,10/10,,
2079,ivxry.pxtalss,https://toyhou.se/21279202.2079,Elementary ,,1,0/5,10/10,,
2080,itx_ogamii,https://toyhou.se/21279231.2080,Elementary ,,5,6/10,10/10,,
2081,sour.rot,https://toyhou.se/21279290.2081,Elementary ,,3,4/6,3/10,,
2082,sour.rot,https://toyhou.se/21279310.2082,Elementary ,,1,0/5,10/10,,
2083,n/a,2083 on Toyhouse,Abyssius,,1,0/5,10/10,,yes
2084,constellixx,https://toyhou.se/21279922.2084,Feyndeer,,1,0/5,10/10,,yes
2085, _d3f4ult_art_,2085 on Toyhouse,Ilgbii,,1,0/5,10/10,,yes
2086,epicbeansprout,2086 on Toyhouse,Ilgbii,,1,0/5,10/10,,yes
2087,epicbeansprout,2087 on Toyhouse,Abyssius,,1,0/5,10/10,,yes
2088,lazuu.uwu_art 101,2088 on Toyhouse,Elementary ,,1,0/5,10/10,,No
2089,sour.rot,2089 (MYO) on Toyhouse,Elementary ,,1,0/5,10/10,,no
2090,lazuu.uwu_art,2090 on Toyhouse,Cupid,,3,0/6,10/10,,no
2091,itx_ogami,2091 on Toyhouse,Cupid,,3,4/6,9/10,,no
2092,floof._.adopts,https://toyhou.se/21281227.2092,Feyndeer,,1,0/5,10/10,,yes
2093,_.PhoenixArtz._,https://toyhou.se/21281284.2093,Cupid,,1,0/5,10/10,,yes
2094,fish_b1te,https://toyhou.se/21281358.2094,Elementary ,,1,0/5,10/10,,
2095,risk_of_systematic_chaos,https://toyhou.se/21281511.2095,Elementary ,,1,0/5,10/10,,
2096,anni3bytez,https://toyhou.se/21289158.2096,Ilgbii,,1,0/5,10/10,,yes
2097,_nan_mais_mdr_,https://toyhou.se/21292569.2097,Feyndeer,,1,0/5,10/10,,no
2098,bergierpants,2098 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2099,epicbeansprout,2099 on Toyhouse,Abyssius,,1,0/5,10/10,,yes
2100,Chaotic_Clueless,https://toyhou.se/21301909.2100-myo,Cupid,,1,0/5,10/10,,yes
2101,_crims0n.mamaart_,https://toyhou.se/21302591.2101,Elementary ,,1,0/5,10/10,,No >:)
2102,LiminalWave,https://toyhou.se/21304365.2102,Elementary ,,1,0/5,10/10,,No >:)
2103,floof._.adopts,https://toyhou.se/21308996.2103,Elementary ,,1,0/5,10/10,,yes
2104,floof._.adopts,https://toyhou.se/21309099.2104,Elementary ,,1,0/5,10/10,,yes
2105,unnatural_oatmeal,https://toyhou.se/21320143.2105-myo,Cupid,,4,2/8,10/10,,yes
2106,sketchy.pigeon,2106 on Toyhouse,Abyssius,,1,0/5,10/10,,yes
2107,ivorypetalss,2107 on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2108,Diino.miilk,2108 on Toyhouse,Elementary ,,1,0/5,10/10,,yes
2109,n/a,https://toyhou.se/21320926.2109,Elementary ,,1,0/5,10/10,,no
2110,_crims0n.mamaart_,https://toyhou.se/21321282.2110-myo,Ilgbii,,1,0/5,10/10,,no
2111,floof._.adopts,2111 on Toyhouse,Elementary ,,1,0/5,10/10,,no
2112,zak_5670,https://toyhou.se/21321670.2112,Cupid,,6,6/12,1/10,,yes
2113,sour.rot,https://toyhou.se/21323388.2113-myo,Feyndeer ,,3,0/6,10/10,,yes
2114,_.anwir._,https://toyhou.se/21323473.2114-myo,Abyssius ,,1,0/5,10/10,,yes
2115,Luxicitii,2115 (MYO) on Toyhouse,Abyssius,,1,0/5,10/10,,yes
2116,.phoenixartz.,https://toyhou.se/21334715.2116,Elementary ,,1,0/5,10/10,,yes
2117,lark_barks ,https://toyhou.se/21334719.2117,Ilgbii ,,1,0/5,10/10,,yes
2118,chilimelon,https://toyhou.se/21342452.2118-myo,Ilgbii,,1,0/5,10/10,,yes
2119,Constellixx,https://toyhou.se/21342461.2119-myo,Ilgbii ,,1,0/5,10/10,,yes
2120,chilimelon,https://toyhou.se/21344056.2120-myo,Ilgbii ,,1,0/5,10/10,,yes
2121,chiliimelon,https://toyhou.se/21344068.2121-myo,Abyssius ,,1,0/5,10/10,,yes
2122,sketchy.pigeon,https://toyhou.se/21344072.2122-myo,Abyssius,,1,0/5,10/10,,yes
2123,thefishofthecat,https://toyhou.se/21344195.2123-myo,Elementary ,,1,0/5,10/10,,yes
2124,thefishofthecat,https://toyhou.se/21344202.2024-myo,Cupid ,,1,0/5,10/10,,no
2125,thefishofthecat,https://toyhou.se/21344204.2025-myo,Cupid ,,1,0/5,10/10,,yes
2126,digitalskullfox,2126 (MYO) on Toyhouse,Abyssius ,,1,0/5,10/10,,yes
